stage,year,page,article name,length of article,paragraph,2500bott,Bottid,singlebott,scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,2500partner,singlepartner,content production,data center/storage,internet infra,content distribution,"browsers, apps & smart devices",advertising,end users,external partners,substitutional partners
2,2023,0,0,0,"In our current  media landscape, there are two principal drivers of change. On the one hand, new and forthcoming privacy standards (and the actions of platforms to comply with them) have deprecated the cookie and mobile IDs while giving rise to new categories such as customer data platforms (CDPs),  clean rooms and alternative IDs. On the other hand, the rise of new channels like connected TV (CTV) and  the shift toward omnichannel   media consumption have forced marketers to seek new ways to target, buy and measure advertising while transforming their own workflows and operations.",0,"27,29",0.0,0,0,0,1.0,1.0,0,1.0,0,0,1.0,1.0,1,0,0,1.0,0,0,0,1.0,0,0,0
2,2023,0,0,0,"Tegna, which owns 64 TV stations in 51 U.S. markets, agreed to be acquired by Standard General in February 2022 for $8.6 billion including debt. It also owns multicast networks True Crime Network, Twist and Quest and advanced-advertising company Premion.",0,28,1.0,0,0,0,0,0,0,1.0,1.0,0,0,0,1,1,0,0,0,1.0,0,0,0,0,0
1,2023,0,0,0,"Then on Dec. 23, Standard General, which was clearly hoping to get the FCC to make a decision ASAP after months of vetting, said it would agree to all of the retransmission consent-related conditions that NCTA-the Internet & Television Association had wanted for as long as it owned Tegna.",0,"11,23",0.0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,1,1,0,0,0,0,0,0,0,1.0,0
2,2023,0,0,0,"* “Will TikTok commit to not selling American user data to third parties, including subsidiaries or parent companies, in the future?”",0,27,1.0,0,1.0,0,0,0,1.0,0,0,0,0,0,1,1,0,1.0,0,0,0,0,0,0,0
2,2023,0,0,0,"Spectrum Reach, the ad sales arm of Charter Communications, said that it plans to help more than 700 multicultural businesses as part of its Pay It Forward initiative in 2023.",0,25,1.0,0,0,0,1.0,1.0,0,1.0,0,0,0,0,1,1,0,0,0,0,0,1.0,0,0,0
2,2023,0,0,0,Women’s baseball-themed  series to end after four-episode sophomore campaign,0,25,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,1,0,1.0,0,0,0,0,0,0,0,1.0
2,2023,0,0,0,Sinclair Broadcast Group said it reached a new carriage deal with YouTube TV that adds  the broadcaster’s digital broadcast networks and Tennis Channel to YouTube TV’s lineup.,0,25,1.0,0,0,1.0,0,0,0,0,1.0,0,0,1.0,1,0,1.0,0,0,1.0,0,0,0,0,0
0,2023,0,0,0,The FCC also cited the possibility that the deal structure would allow Standard General and Tegna to “artificially” raise retrans fees.,0,11,1.0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,1,1,0,0,0,0,0,0,0,1.0,0
1,2023,0,0,0,"Google -owned YouTube, which just agreed to pay the National Football League $2.5 billion a season for  the “NFL Sunday Ticket” out-of-market games package , is jacking up the price.",0,16,1.0,0,0,1.0,1.0,0,0,0,0,0,0,1.0,1,1,0,0,0,0,0,0,0,0,1.0
2,2023,0,0,0,"We also hope that the competitive consequences resulting from the WarnerMedia- Discovery merger inform updates to the merger guidelines to ensure that the guidelines reflect the needs of workers, consumers and  content creators in the  media and entertainment industry,” the letter said.",0,28,1.0,0,0,0,0,0,0,1.0,1.0,0,0,1.0,1,0,1.0,0,0,1.0,0,0,0,0,0
2,2023,0,0,0,Reality crime  series to run across network's YouTube channel,0,25,1.0,0,0,1.0,1.0,0,0,0,1.0,0,0,1.0,1,0,1.0,0,0,1.0,0,0,0,0,0
2,2023,0,0,0,"There is a great affinity in the Black community to produce  content where we can tell our own stories and narratives, and we’re grateful that Lifetime has created the platform to allow African-American actors and producers to have a stage to share our talents not only for the Black community but with the rest of the world,” he said.",0,25,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,1,1,1.0,0,0,0,0,0,0,0,0
0,2023,0,0,0,"Her historic nomination and decades of relevant experience, though, were not enough to overcome a perfect storm of leverageable issues and opportunities for legislators and industry players who were just as happy not to have a progressive Democrat seated who would give the FCC the majority to potentially restore network neutrality rules, expand the Universal Service Fund fee base or re-regulate radio and TV stations in an effort to stem consolidation.",0,11,1.0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,1,1,0,0,0,0,0,0,0,1.0,0
0,2023,0,0,0,"Sohn, former adviser to then-FCC chairman Tom Wheeler and longtime advocate for fair use and net neutrality rules, took heat for various stands as 1) a public interest advocate, 2) a backer of shuttered free broadcast  streaming service, Locast, and 3) as an occasional Fox News critic as a private citizen, resulting in a stalemate in Congress on her nomination.",0,11,1.0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,1,1,0,0,0,0,0,0,0,1.0,0
2,2023,0,0,0,"Although we are disappointed in the court’s ruling, I have always known as one of the few Black  media entrepreneurs in America that the fight for equality in  media is always going to be difficult,” McCoy said in a statement. “We firmly believe that Dish and AT&T [which spun off DirecTV but still owns a major stake] are both discriminatory companies in contracting. Separately and individually they discriminate!”",0,25,1.0,0,1.0,0,1.0,0,1.0,1.0,0,0,0,0,1,0,1.0,0,0,1.0,0,0,0,1.0,0
2,2023,0,0,0,"For Paramount and CBS, the revolt threatened to spill out onto other digital arrangements with the likes of  Paramount Plus ,  Hulu Plus Live TV and  YouTube TV .",0,25,1.0,0,0,1.0,0,0,0,0,0,0,0,1.0,1,1,0,0,0,1.0,0,0,0,0,0
2,2023,0,0,0,"In his blog post, LeGeyt cited Menendez's speech, calling it the latest in a chorus of alarm bells over the FCC’s “flawed merger review process.” He said that process —and the prospect it would kill the deal — risks undermining both investment in local television stations’ free service to the public and  media diversity.",0,"11,25",1.0,0,1.0,0,1.0,0,1.0,0,0,0,0,1.0,1,1,0,0,0,0,0,0,0,1.0,0
2,2023,0,0,0,"Regional sports networks used to be a good business, drawing big ratings and collecting large license fees from distributors. Sinclair borrowed about $9 billion to buy  the Fox RSNs from The Walt  Disney Co.  Disney acquired the RSNs  when it acquired 21st Century Fox , but had to sell them due to antitrust concerns because it owned ESPN.",0,28,1.0,0,0,0,0,0,0,1.0,0,1.0,0,0,1,0,0,0,0,1.0,0,0,0,0,1.0
2,2023,0,0,0,DirecTV Advertising and  Dish   Media said they have collaborated to create a standardized way for programmers to make more of their national advertising inventory addressable.,0,29,1.0,0,0,0,0,0,0,0,1.0,0,1.0,0,1,1,0,0,0,0,0,1.0,0,0,0
0.0,2023,0,0,0,"With a majority, Democratic FCC chair Jessica Rosenworcel will be able to tackle controversial issues including restoring network neutrality rules, reforming the FCC's Unversal Service Fund (USF) subsidies, and potentially re-regulating broadcasting and applying regulations to streamers for the first time. That last item is likely a nonstarter unless Congress weighs in to make it explicit that the FCC has authority over over-the-top  video .",0,11.0,1.0,0,1.0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.0,0
2.0,2023,0,0,0,"The 18-year-old independent network’s lineup of Africa-based lifestyle and food shows, scripted  series and  movies can be viewed on multiple platforms including cable, through deals with Comcast, Charter Communications and Cox Communications; via agreements with free ad-supported TV platforms such as  Xumo Play ,  Pluto TV and  Tubi ; and through  subscription VOD service  Demand Africa .",0,29.0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,1,1,0,0,0,0,0,1.0,0,0,0
2.0,2023,0,0,0,"Having said that, what then is Africa Channel’s target audience sweet spot? I will just say broadly, our audience is people of African descent who have made their home voluntarily or involuntarily outside of the continent of Africa. The secondary audience is those who have an interest in travel, lifestyle and culture, particularly that of Africa and its people.",0,25.0,1.0,0,0,0,1.0,0,0,0,0,0,0,1.0,1,1,1.0,0,0,0,0,0,0,0,0
2.0,2023,0,0,0,"Our primary focus is always to serve sports fans and we know they want both betting  content and the ability to place bets with less friction from within our products,” Jimmy Pitaro, chairman of ESPN, said. “The strategy here is simple: to give fans what they’ve been requesting and expecting from ESPN. Penn Entertainment is the perfect partner to build an unmatched user experience for sports betting with ESPN BET.”",0,25.0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,1,1,0,0,0,0,0,0,0,0,1.0
2.0,2023,0,0,0,"Other goals were to build a strong management team at the channel and develop “new commercial pathways’ beyond linear TV, and inroads have been there made via  deals with Peacock ,   Hulu and YouTube TV, with the  Hallmark   Movies Now streaming service and with ad-supported  video - on - demand and FAST channel launches, he said.",0,29.0,1.0,0,0,0,0,0,0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,0,1.0,0,0,0
2.0,2023,0,0,0,"Dish Network reported lower second-quarter profits as it lost 294,000 more pay TV subscribers.",0,28.0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
2.0,2023,0,0,0,"At this point, addressable advertising includes both targeted ads inserted into breaks by pay TV distributors as well as targeted ads in connected TV programming.",0,29.0,1.0,0,0,0,1.0,0,0,0,0,0,1.0,1.0,1,1,0,0,0,0,0,1.0,0,0,0
2.0,2023,0,0,0,"The brand will also have category exclusivity across both the College Football Playoff and the Tournament of Roses in the Life Insurance, Wealth Management, and Fi0cial Advisory categories.",0,29.0,1.0,0,0,0,0,0,0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,1.0
0.0,2023,0,0,0,"Congress mandated the labels so consumers can better gauge just what kind of broadband service they are getting, including price, speed and quality. The FCC then came up with rules for the program, which they released in a Report and Order. The ACAC/NCTA petition was filed Jan. 17. The rules were passed in November 2022.",0,11.0,1.0,0,1.0,0,0,0,1.0,0,0,0,0,0,1,0,0,0,1.0,0,0,0,0,1.0,0
2.0,2023,0,0,0,"Another extends brand and category analysis, with insight as to how brands and advertiser categories are performing within specific  media properties and across competitive networks and apps.",0,27.0,1.0,0,0,0,1.0,0,0,1.0,1.0,0,0,1.0,1,0,1.0,1.0,0,0,0,0,0,0,0
2.0,2023,0,0,0,"Incorporating Hispanic culture in television is another key message, seen in back-to-back morning marketing sessions concerning brand advertising and cable- subscription acquisition and retention.",0,25.0,1.0,0,0,0,1.0,1.0,0,1.0,0,0,0,1.0,1,1,1.0,0,0,0,0,0,0,0,0
0.0,2023,0,0,0,"With an estimated 6.2 million AT&T broadband customers still on copper DSL, 5G FWA ""makes sense"" as an alternative, Desroches added, until fiber can reach these customers, or if they're in rural places in which fiber won't be deployed to them.",0,2.0,1.0,0,0,1.0,0,0,0,0,0,0,1.0,0,1,1,0,0,1.0,0,0,0,0,0,0
0.0,2023,0,0,0,"Fox suggests that to deny the renewal would be a case of the government trying to tell it how to run its news operation. While Fox concedes that broadcast speech has lesser protection from regulation than other  content , thanks to  the Supreme Court decision in the Red Lion case , it says that in the context of license renewals, the FCC has signaled it will tread lightly.",0,11.0,1.0,0,1.0,0,0,0,1.0,0,0,0,0,0,1,0,1.0,0,0,1.0,0,0,0,1.0,0
2.0,2023,0,0,0,"The  series , an adaptation of the 1990’s movie of the same name about a professional women’s baseball league,  was initially renewed for a four-episode second season this past April .  Series co-creator and executive producer Abbi Jacobson recently took to social  media to decry the show’s cancellation.",0,25.0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,1,1,1.0,0,0,0,0,0,0,0,0
0.0,2023,0,0,0,"The  Media and Democracy Project (MAD), citing  Fox’s settlement of the Dominion Voting Systems lawsuit over election misinformation , in July  challenged the renewal of Fox-owned WTXF Philadelphia , and by extension Fox’s character qualifications for holding any TV station licenses at all.",0,11.0,1.0,0,1.0,0,0,0,1.0,0,0,0,0,0,1,0,1.0,0,0,1.0,0,0,0,1.0,0
1,2023.0,0,0,0,The deal renews a contract that was last re-established when Paramount's broadcast and cable concerns were operating under the ViacomCBS moniker in January 2022.,0,16,1,0,0,1.0,0,0,0,0,0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0
2,2023.0,0,0,0,DirecTV said it added  Weigel Broadcasting ’s Heroes & Icons digital broadcast network to its satellite pay TV platform.,0,28,1,0,0,1.0,0,0,0,0,0,1.0,0,1.0,1.0,0.0,1.0,0,0,1.0,0,0,0,0,0
2,2023.0,0,0,0,"We have some franchises that are extremely popular with the TV one audience, and luckily, we're now at a point where we can make that available to people who are outside the pay ecosystem without cannibalizing the [linear] business,” she said.",0,"17, 29",0,1,0,1.0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0
0,2023.0,0,0,0,"The FCC did not restore the rules preventing newspaper/broadcast cross-ownership and radio/TV crossownership, which a Republican FCC had eliminated and an appeals court restored before the  Supreme Court weighed in on the side of elimination.",0,11,1,0,1.0,0,0,0,1.0,0,0,0,0,0,1.0,0.0,1.0,0,0,1.0,0,0,0,1.0,0
1,2023.0,0,0,0,"Hulu will debut all six episodes of the 12th and final season of Letterkenny on December 26. The Canadian-based  series stars Jared Keeso, Nathan Dales, Michelle Mylett and K. Trevor Wilson.",0,19,1,0,0,1.0,1.0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2,2023.0,0,0,0,"African-American-targeted network TV One's Crime & Justice FAST channel showcases episodes from several of the network’s most-watched original shows, including Fatal Attraction, Atlanta Homicide, and Sins of the City. The service, which launched in late summer, is currently running on  streaming services  Tubi TV and  Plex .",0,25,1,0,0,0,1.0,0,0,1.0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0
0,2023.0,0,0,0,The current standard of 25 Mbps downstream/3 Mbps upstream was established back in 2015.,0,2,1,0,0,1.0,0,0,0,0,0,0,1.0,0,1.0,1.0,0,0,1.0,0,0,0,0,0,0
1,2023.0,0,0,0,"Newby, author of the science fiction book We Make Monsters, also said the shows let the producers and programmers introduce the classic monsters to a new audience that may not be familiar with the old  movies , or who aren’t going to the theaters to watch the new films.",0,17,1,0,0,1.0,1.0,0,0,0,1.0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0
2,2023.0,0,0,0,"Abbott recently spoke to B+C Multichannel News senior  content producer, programming R. Thomas Umstead about the network’s momentum, the rationale behind its June merger with Sony Entertainment’s Pure Flix  streaming service and his thoughts on the business heading into the new year.",0,28,1,0,0,1.0,0,0,0,0,0,1.0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0
2,2023.0,0,0,0,"GAF’s programming has been criticized for not featuring enough diverse characters and storylines. What do you say to the network’s detractors regarding diversity? I think that as our company is evolving, we are becoming much more diverse. We have some terrific projects in 2024 that we are extremely excited about that feature a pool of [diverse] talent, from Karen Abercrombie to Percy Bell and Stacey Patino, who we believe are going to be big stars. They’re in an original  series called County Rescue. I believe as people learn about our programming offerings moving forward in 2024, a lot of that criticism will go away. We are very focused on it, and we’re proud of what we have coming up.",0,25,1,0,0,0,1.0,0,0,1.0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0
1,2023.0,0,0,0,"We’re building Jennifer Hudson to be a long-term franchise for the studio and our hope is to be in business with her for many years,” Matt Matzkin, executive VP, business operations and production for Warner Bros. Unscripted Television, said.",0,17,1,0,0,1.0,0,0,0,1.0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0
2,2023.0,0,0,0,"Beyond that, Sinclair is preparing to enter the marketplace with one or two shows developed in concert with  CSI: Crime Scene Investigation creator Anthony Zuiker . While station groups have seen pitches for three shows from Sinclair, only one or two are likely to go forward this fall, said Ehrlich.",0,25,1,0,0,1.0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0
"0,1",2023.0,0,0,0,"NBCU, under O’Boyle’s leadership, has had a lot of success with  repackaged episodes of Dateline and off-network runs of  Dick Wolf’s Law & Order and Chicago franchises . It’s exactly the kind of  content TV stations are turning to when they can’t afford original, exclusive shows. “These shows are cost-effective and lots of stations have a need for that sort of programming,” O’Boyle said.",0,"1,17",0,1,0,1.0,0,0,0,1.0,0,0,0,1.0,1.0,0.0,1.0,0,0,1.0,0,0,0,0,0
1,2023.0,0,0,0,"The numbers reflect how important the pivot to the living room has been for a service whose original purpose was almost entirely based on  streaming to PCs. For YouTube and its corporate cousin  Google , the TV set has been a powerful propellant, giving the  video service real estate parity on the television screen alongside legacy television brands like ABC, ESPN, MTV and Fox News Channel. For millions of TV watchers, tuning into YouTube is now little different from summoning ESPN or Fox News to the screen, with one big exception: YouTube engrosses viewers in a more personalized, interactive experience compared with a linear television network. “Eyeballs are moving away from linear TV, and we are helping brands move beyond (the) traditional,”  Google senior VP Phillip Schindler noted in a recent quarterly earnings review. “Obviously … connected TV is an important part of this strategy.”",0,"18,19",0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0
1,2023.0,0,0,0,"In the meantime, YouTube had begun to shape-shift its  content persona. In 2010, when Verizon added YouTube to Fios TV, the YouTube service was still viewed mostly as a jumble of short-form  video — everything from user-contributed shorts to music snippets to how-to videos.",0,"17,19",0,0,0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,0,0
2,2023.0,0,0,0,"Earlier this week, the Wall Street Journal reported that  Amazon is in talks with the RSN operator about possibly propping it up with an investment and plying its direct-to-consumer  streaming rights to  Amazon Prime   Video .",0,25,1,0,0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,1.0,0,0,0,0,0
