index,path,year-month,date,paragraph#,article_title,paragraph,2500Bott,singlebott,bott_list,stage,scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,2500partner,singlepartner,content_production,data_center/storage,Internet_infra,content_distribution,"browsers,_apps_&_smart_devices",advertising,end_users,external_partners,substitutional_partners,length_approx
78123,./htmls/Factiva-20240114-0306 (2).html,2008-04-01 00:00:00,2008-04-07 00:00:00,16,"Diverse Flocks; Understanding How To Reach Immigrants, Converts          ","We're focused on continuing to expand our ethnic programming options,” said Jenny Parker, a spokesperson for    AT&T U-verse. “It's important for us to be able to offer  content that speaks to the interests of our diverse customer base.”      ",1,1,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,1,1,1,1,0,0,0,0,0.0,0,0,0,16.0
78323,./htmls/Factiva-20240114-0306 (2).html,2008-04-01 00:00:00,2008-04-07 00:00:00,21,Picture Imperfect; Quality And Standards Issues Slow    Video  On The Go,"Perhaps more with the mobile phone than any other consumer electronics device,  content is obtained from a variety of sources,” ABI research director Michael Wolf said in a statement. “This shows that despite the strong control most carriers retain over the network, their control over the mobile  content ecosystem remains limited. The consumer will see more and more options for obtaining rich  media in the future.”   ",1,1,0,0.0,0,1,0.0,1,0,0,0.0,1.0,0,0,1,1,0,1,0,0,0,1,0.0,0,0,0,21.0
78363,./htmls/Factiva-20240114-0306 (2).html,2008-04-01 00:00:00,2008-04-07 00:00:00,22,Face2Face,"Invidi Technologies, a Princeton, N.J.-based addressable broadband advertising provider, has named Christopher R. O’Toole chief financial officer. He comes from hotel pay TV provider On Command, where he was senior VP, CFO.      ",1,1,0,0.0,0,0,0.0,0,0,0,1.0,0.0,0,0,0,1,1,0,0,0,0,0,1.0,0,0,0,22.0
182738,./htmls/Factiva-20240114-0306 (1).html,2008-04-01 00:00:00,2008-04-21 00:00:00,41,Peer Politics; Comcast Draws Fire For Its 'P2P Bill Of Rights’ Plan,"Comcast further positioned itself as proactively and responsibly addressing peer-to-peer applications, announcing it will lead an industry-wide effort to create a “P2P Bill of Rights and Responsibilities” for users and Internet-service providers.",1,0,0,0.0,0,0,1.0,0,1,0,0.0,1.0,1,1,0,1,0,0,0,1,0,0,0.0,0,1,0,41.0
182898,./htmls/Factiva-20240114-0306 (1).html,2008-04-01 00:00:00,2008-04-21 00:00:00,48,Through the Wire,"Rather than trying to be a YouTube-like destination site, the company’s goal is to be a community site for filmmakers. It makes sure only serious (or semiserious) filmmakers apply, by charging a $10 contest-entry fee.",1,1,0,0.0,1,0,0.0,0,0,1,0.0,1.0,0,0,0,1,0,1,0,0,0,0,0.0,0,1,0,48.0
182978,./htmls/Factiva-20240114-0306 (1).html,2008-04-01 00:00:00,2008-04-21 00:00:00,52,Baseball VOD: Home Run,"Concerned that on-demand replays of the games will cut into audiences for the network's own replay telecasts, the networks are understandably trying to find the best way to offer viewers more value while protecting their own business interests.",1,1,0,0.0,0,0,0.0,1,0,0,1.0,0.0,0,0,1,1,1,1,0,0,0,0,0.0,0,0,1,52.0
183178,./htmls/Factiva-20240114-0306 (1).html,2008-04-01 00:00:00,2008-04-21 00:00:00,56,With the Program; Networks Keep the Green Messages Coming,"At Current, viewers can vote  online to determine what the top stories are during any given hour. As a result, the programming, much of it viewer-generated, can shift in various directions and the amount of green  content can vary.",1,1,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0.0,1,0,0,56.0
183698,./htmls/Factiva-20240114-0306 (1).html,2008-04-01 00:00:00,2008-04-14 00:00:00,76,"Do-It-Yourself Commercials; Current TV Lets Viewers Make Their Own Ads,    Online  and On Television    ","Potential producers have an incentive to participate: If a spot they create is selected for posting  online , the producer gets $2,500. If a commercial is good enough for the television channel, the producer gets $60,000.",1,1,0,0.0,0,0,0.0,0,0,0,0.0,1.0,0,0,0,1,0,1,0,0,1,0,1.0,0,0,0,76.0
183738,./htmls/Factiva-20240114-0306 (1).html,2008-04-01 00:00:00,2008-04-14 00:00:00,78,Content,"As for  Disney ’s upcoming schedule, the network will debut its next musical-oriented  film , Camp Rock on several platforms beginning June 17. The movie, featuring The Jonas Brothers and Lovato — who currently stars in  Disney ’s sitcom short As The Bell Rings — will premiere on  Disney On Demand June 17 before debuting on  Disney Channel June 20, said network officials. The movie will then air over the next two nights; first on broadcast network ABC and then on ABC Family, said Marsh.",1,1,0,0.0,0,0,0.0,0,0,0,1.0,0.0,0,0,1,1,0,1,0,0,1,0,0.0,0,0,0,78.0
183818,./htmls/Factiva-20240114-0306 (1).html,2008-04-01 00:00:00,2008-04-14 00:00:00,80,Planet Green Sprouts First Slate of Shows,"Following each episode of Frozen Planet , three minutes of exclusive behind-the-scenes footage will show viewers exactly how filmmakers secured the  series ’ most memorable images. Additional behind the scenes stories and  video , and in-depth information about our planet and its animals and habitats, will be available in the Frozen Planet Web site on  Discovery .com. The site will also include a news feed, photo gallery and informative games and puzzles.",1,1,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,1,1,0,1,0,0,0,1,0.0,0,0,0,80.0
