stage,year,page,article name,length of article,paragraph,2500bott,bottid,singlebott,scarcity,nonuniform progress,performance constraints,user heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,2500partner,singlepartner,content production,data center/storage,internet infra,content distribution,"browsers, apps & smart devices",advertising,end users,external partners,substitutional partners
0.0,2012,None,None,None,"Everything about television is changing,” Rockefeller said Wednesday of the hearing. “People are watching all sorts of programs on an assortment Df platforms, at different times of the day or night and without the traditional boundaries of television channels. The digital age is fusing the television screen with the computer screen, and it’s important to explore this topic. I want to focus this hearing on what these changes mean for consumers, especially in rural areas, and if this evolution of  video can bring them higher quality  content at lower rates.”",1,"9,10",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2012,None,None,None,"Charter Communications, whichhas a new CEO in former Cablevision Systems chief operating officer Tom Rutledge, will again focus on cutting customer losses. Swinburne predicts the MSO will shed about 23,000 basic  video customers in the period, comparable to the 25,100 basic customers it lost in 2010. Aggressive promotions will help drive Charter subscriber metrics, according to ISI Group  media analysts Vijay Jay-ant and Judah Rifkin. In a research report, the two analysts noted that a pair of aggressive high-speed-data promotion plans — one that delivers speeds of 15 Megabits per second for $20 per month and another that delivers 30 Mbps for $30 per month, compared to other MSOs that offer similar speeds for $49 and $59 per month — has been “wildly successful,” andshould drive strong growth. But that could come at aprice — while HSD additions are expected to be about 50% higher than in the prior year, cash flow growth will lag analysts’ consensus ex-pectations.",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2012,None,None,None,"What began as an IT job at a small semiconductor company in college has blossomed into a full-fledged career managing  video -processing equipment for Tom Lattie. Throughout his career at Harmonic, Lattie has been instrumental in successfully conceptualizing and executing encoding, transcoding, stream processing,  media server and  media -management product lines — all of which help to deliver today’s consumers a high-quality viewing experience on any device.",1,"1,5",0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0
0.0,2012,None,None,None,"FiOS nowrepresents 63% of Verizon’s consumer wireline revenue — or about $2.2 billion for the first three months of 2012 — up from 54% a year ago. Consumer wireline revenue grew a modest 1.7%, while Verizon’s overall wireline segment (which includes enterprise and wholesale) posted operating revenue of $9.9 billion, a year-over-year decline of 2%. The wireline business “is a drag on growth and a drag on value, and it still accounts for almost half of proportionate revenue and 70% of invested capital” for Verizon as a whole, Sanford Bernstein senior analyst Craig Moffett wrote in a research note.",1,"1,2",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2012,None,None,None,The co-op also said chief financial officer Corey McCarthy will take on the additional role of senior VP of business development.,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2012,None,None,None,Harmonic's ProView 7100 IRD supports up to four MPEG-4 channels with auto-transcoding to MPEG-2.,1,5,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
0.0,2012,None,None,None,"Gaiski: Leading up to that, we had had two really big meetings with [ Disney and ESPN Networks Group executive vice president of affiliate sales and marketing] David Preschlack and his group. Then we had a hiatus where we all went back to think about and talk to our management about how we were going to work this out It was probably mid-October-ish that they brought the buses in and we began to really spend a lot of time together.",1,8,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
0.0,2012,None,None,None,"But Skitter does not have permission to carry KPTV's signal, vice president and general manager Patrick McCreery said. “We don't have a retransmission agreement in place with that company,” he said. “Frankly, there's quite a bit of confusion about what they intend to do.”",1,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2012,None,None,None,"Service rep No. 1 felt my pain but couldn’t authorize the fix I wanted: to replace an oft-repaired phone with some other, similar but different, phone. Rep No. 2, same thing. The loyalty card wasn’t the trump I thought it would be. Rep No. 2 pointed out that all carriers have similar warranty agreements with equipment makers, so if I switched I’d face the same dilemma. Logic was on rep No. 2’s side.",1,8,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0,2012,None,None,None,"While phone customers are rapidly cutting the cord, the pace of customers expected to sever their pay TV service ties is expected to decline slightly in 2012, said a second Convergence report, The Battle for the American Couch Potato:  Online & Traditional TV and Movie Distribution.”",1,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,2012,None,None,None,"After listening to Peter, other strategists, engineers and a great panel of veteran headhunters, you begin to understand it's not enough for employees to want to be innovative. Desire without action is inconsequential. Innovation does not always come top-down — nor does it always come bottom-up. And it hardly ever comes when people's vision is clouded with pessimism. It only comes if everyone believes. ■",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2012,None,None,None,"This has been evolving over time, but this spring we are doing outdoor programming in a bigger way than we ever have,” senior vice president Kathleen Finch said. “The ratings and our research show this is what viewers want.”",1,17,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,2012,None,None,None,"The show would bring together celebrities, writers, dancers and even doctors. In a recent episode, Don Francisco stunned millions by doing a one-on-one with Mexico's tattoo diva, María José Cristerna, who explained why she decided to go through body modification after years of domestic abuse.",1,17,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,2012,None,None,None,"We wouldn't do a show or not do a show because it had a Muslim affiliation or a Jewish affiliation,” bassist Branden Campbell told The Wire from a tour stop in San Diego. “It's about the music, and they want to share stories about great bands.”",1,17,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5,2012,None,None,None,"For Cox, it’s always been about how they treat people. Their commitment to their customers and employees is legendary. It’s the little things that help keep their staff happy. They make their lives just a little easier, which makes doing their jobs easier. And for years, Cox was the only company that conducted customer research. Their branding campaigns are in CTAM’s Hall of Fame. They took marketing to another level.”",1,"1,18",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2012,None,None,None,"Disney Channel, with its lineup of live-action shows like A.N.T. Farm and animated hits like Phineas & Ferb and Gravity Falls, is poised to sweep all major kids-targeted demos duringthe sum-merforthe firsttime ever. A breakdown of ratings in three major kids’ demos overthe past six years:",1,19,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,2012,None,None,None,"Disney has some winning shows, no doubt. 1 confess I can barely pull my kids from the lat-est  series , Gravity Falls. I catch myself laughing at its innocent-but-quirky humor.",1,19,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,2012,None,None,None,KL: We don’t talk about suppliers. But we have stated publicly that we built the devices ourselves.,1,15,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
0.0,2012,None,None,None,"The FCC’s conclusion came in its latest 706 Report, a congressionally mandated update on the state of advanced communications deployment. The agency’s findings did not sit well with Republican FCC commissioners, who dissented from the report; Hill Republicans, who called for FCC reform; or a host of industry players.",1,11,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1.0,2012,None,None,None,"Viewers have been incredibly loyal to Nick Jr.,” said O’Keefe. “Anytime you do something new you have to be prepared for that, but we have a lot of offerings for preschool kids  online and on VOD, so if they happen to be up at that time we have other platforms within the Nickelodeon family to direct them to.” )",1,19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2012,None,None,None,"Another attractive feature of TiVo’s solution is its ability to deliver IP  video , Pascarelli said, and the Pace XG1 eventually is expected to include a transcoding capability to stream cable TV to any IP device in the home.",1,12,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
0.5,2012,None,None,None,One of the reasons the FCC cited for adopting the rules was so that ISPs would not be able to discriminate against the delivery of  online content by competitors.,1,"11,23",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1.0,2012,None,None,None,"Viggle, however, claims the rewards program works — and works very effectively. The company cites its recent promotion for Fox’s primetime  drama Touch. After Viggle began offering users 350 watchpoints to tune in to Touch, viewing among Viggle users tripled, even though the show’s Nielsen ratings declined over the same period.",1,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,2012,None,None,None,"Google ’s staggered schedule reflects the labor-intensive process of building a physical network and connecting residences literally one at a time. Moreover, the company warned that it may encounter delays.",1,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2012,None,None,None,"At a high level, Aereo is a technology company, not a  subscription -TV provider, Kanojia said. “We don’t sell programming,” he said. “We charge for access to our infrastructure. The beauty of the cloud implementation is that the cost of that infrastructure is low and continues to drop.”",1,14,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2012,None,None,None,"The Hype: Millions of people have an old-fashioned, dumb HDTV — and aren’t going to spring for an Internet-connected set anytime soon. New set-top-on-a-stick devices from Roku and Japanese tech firm IMJ are designed to plug into legacy digital sets to instantly turn them into app-enabled “smart TVs.”",1,15,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
1.0,2012,None,None,None,"Ovation TV last week said Time Warner Cable intends to drop the network, which the No. 2 MSO then confirmed, sayingthe channel was low-performing and ran numerous repeats and inf omercials. Ovation countered that it is producing more original  content and supports the arts in TWC communities, among other places. On Wednesday, local arts organizations and politicians rallied in front of New York City Hall to speak on Ovation’s behalf.",1,"16,17",0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
0.0,2012,None,None,None,"MCN: Instead of buying  Netflix , could you instead just become them, in the sense that you already have VOD capability and  content libraries?",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
