stage,index,year,version,page,Article_Name,length_of_article,paragraph,2500Bott,Bottid,singlebott,bott_list,scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,2500partner,singlepartner,content_production,data_center/storage,Internet_infra,content_distribution,"browsers,_apps_&_smart_devices",advertising,end_users,external_partners,substitutional_partners,Unnamed:_34,Unnamed:_0,Unnamed:_35
1.0,160,2007,February-2007-(Sourcebook),30,"The Perfect Storm: Media and Entertainment Year in Review ■Tim Siglin Consumer-generated content got all the hype, but technical advances and mainstream media’s “if you can’t beat 'em, join 'em” atti- tude also helped make 2006 the year of online video.",44,"Consumer content-generation blogs rose to prominence in 2005 but remained on the web, separate from mainstream media and viewed by traditional media outlets with significant skepticism. Then YouTube, MySpace, and Facebook exploded onto the scene, generating more content in several months than many mainstream media and entertainment outlets generate in an entire year.",1,17,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,
0.0,200,2007,February-2007-(Sourcebook),36,Getting Ready for Primetime: Mobile Year in Review ■Stephen Warley,59,"WIth the birth of each new medium, its purveyors look to the media that came before them for direction.The first radio announcers simply read the newspaper on the air rather than writing their own copy.Early television was referred to as “radio with pictures.” Websites prior to “Web 2.0” were laid out like a magazine or newspaper. Mobile video is no different.The major wireless carriers are now looking to mobile video and other entertainment services to help them recoup billions ofdollars they invested in their 3G networks. Over the last year theyhave repeatedly touted how quickly mobile video usage is growing,yet have been infamously tight-lipped about providing specific numbers to back up their claims.",1,"1,2",0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,
1.0,240,2007,February-2007-(Sourcebook),41,Getting Ready for Primetime: Mobile Year in Review ■Stephen Warley,59,"There is strong evidence that consumers welcome ad-supported models if it means access to “free” content. According to the Yankee Group, 40% of 18- to 35-year-olds say they are open to mobile advertising if it subsidized their content options. “Over the next six months you are going to see more and more adsupported services for wireless,” says Johansson. MSNBC is partnering with Action Engine to launch an ad-supported mobile news service, so users can experience MSNBC.com without incurring another subscription fee. ",1,"20, 19",0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,
1.0,260,2007,February-2007-(Sourcebook),44,Are We There Yet? Rich Media Advertising Year in Review ■Geoff Daily,55,"While not every network is offering full-length shows via adsupported streaming, you’d be hard pressed to find one that doesn’t now deliver some portion of its content online. And perhaps there is no better way to get advertisers’ feet wet online than through the major TV broadcasters as the online industry tries to pull more advertising dollars across the table.",1,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,
1.0,280,2007,February-2007-(Sourcebook),46,Are We There Yet? Rich Media Advertising Year in Review ■Geoff Daily,55,"Perhaps the most interesting aspect of YouTube and most any user-generated platform has been the impact of individuals on increasing consumer demand for products. A 17-year-old user nick-named BowieChick uploaded a video called “My Webcam” in March that introduced Logitech Web cameras to an audience with morethan 200,000 views. Later in the year, videos of toy helicopter Picco Z were credited with sparking an unprecedented demand for the product during the 2006 Christmas shopping season.",1,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,
1.0,320,2007,February-2007-(Sourcebook),54,Coming of Age: Enterprise Year in Review ■Steve Vonder Haar Business executives are getting serious about enterprise multimedia.,48,"As individuals begin to post more and more of their own videos online and distribute them around the world, management executives are asking pointed questions about why the technology can’t be put to work in the same way within their organizations, says Todd Johnson, senior vice president of marketing for VeriSign, which recently got into the content delivery game with its acquisition of Kontiki.",1,"19, 17",0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,
1.0,340,2007,February-2007-(Sourcebook),58,Coming of Age: Enterprise Year in Review ■Steve Vonder Haar Business executives are getting serious about enterprise multimedia.,48,"The ability to better manage content makes enterprise webcasting a critical linchpin in holding together a range of other communications technologies. The systems now being deployed to archive and track online video events can be configured to capture and redistribute content developed using other technologies, such as video and web conferencing, says Accordent’s Newman.",1,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,400,2007,February-2007-(Sourcebook),67,"Digital Media Patents for Profit ■Dan Rayburn, Rebecca Kirk, and Almudena Arcelus Companies like Acacia are aggressively pursuing these hot patents, and target com- panies need a sound response strategy.",61,"In 1995, Acacia purchased a number of patents related to networked digital media from inventors Paul Yurt and Lee Browne. These patents, as well as patents it has subsequently acquired in this area, have since been bundled into a collection termed the Digital Media Transmission (which it has trademarked as “DMT”) patents. One school ofthought, promoted by Acacia, holds that the DMT patents are central to interrelated system operations. Amid growing public acceptance of that perception, DMT has become Acacia Research Corporation’s primary weapon in attempting to secure dominance in the sector.",1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
0.0,480,2007,February-2007-(Sourcebook),75,"Future Watch 2007: The Blurring Line Between Entertainment and Enterprise Streaming ■Mike Newman The future has already arrived, William Gibson wrote, it just isn't evenly distributed. But it will be.",27,"The industry also received strong endorsements from technology heavy weights that have historically paid only cursory attention to streaming. Cisco made headlines by declaring an aggressive commitment to streaming, buttressed by CEO John Chambers’ declaration that the revenue opportunity demanded attention even by Cisco’s lofty revenue standards. In the span of a week, Cisco announced the release of appliances optimized for streaming, as well as a system for managing the distribution of streaming content. Similarly, IBM initiated an aggressive digital media program and has worked diligently to align itself with the leaders in the streaming industry. When players of this size recalibrate their digital media strategies, it is evidence of both the maturation of the technology and its rising prominence as a key driver for application and infrastructure investment.",1,"1, 8",0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,
0.0,520,2007,February-2007-(Sourcebook),82,"Online Video Delivery and Storage Pricing Guide ■Dan Rayburn Though price isn’t the only issue, the bottom line is still the bottom line. Here’s what you should pay for delivery and storage.",22,"Many factors affect the price you pay for the delivery of audio and video content via streaming and downloads. With this inmind, let’s look at the two biggest factors that affect the price that are relevant to all delivery providers—bandwidth commit and storage—and what you can do to help get the best price.",1,"2, 4",0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
