stage,index,path,year-month,date,article_idx,article_title,article_length,paragraph,check,2500Bott,singlebott,Bottid,scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,2500partner,singlepartner,content_production,data_center/storage,Internet_infra,content_distribution,"browsers,_apps_&_smart_devices",advertising,end_users,external_partners,substitutional_partners,bott_list
0.0,19491,./htmls/Factiva-20240114-0330.html,2007 January,2007-01-30 00:00:00,1,Dish Targets Mediacom Subs,7,"Dish Network, like DirecTV, is now targeting Mediacom Communications customers who lost Sinclair Broadcast Group TV stations as the result of an ongoing retransmission-consent dispute       http://www.multichannel.com/article/CA6407650.html     .      ",0,1,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0,19611,./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29 00:00:00,17,Stations a Basic Backbone,12,"By ACA's own admission, “An essential component of cable service is the retransmission of broadcast television station signals. Retransmission brings networks such as ABC, CBS, Fox and NBC to small-town and rural viewers; it also delivers local programming (such as newscasts) created at the station.” Those words — printed on page one of a January 2006 ACA study on retransmission consent — demonstrate convincingly the value of broadcast signals.      ",0,1,0,"2,8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0,19771,./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29 00:00:00,23,Through the Wire,31,"Host of that part? Maria Bartiromo, well-known anchor and signature financial reporter for business-news channel CNBC.      ",0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,
1.0,19851,./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29 00:00:00,27,Standing Out In the Kid Crowd; Networks Carve Out Niches To Draw Younger Demos,16,"Although kids networks are steadily adding Spanish-language fare, some operators want more. “In our Spanish package, we have four kids channels,” said Tricia Lynch, director of FiOS TV programming at Verizon Communications. “I’d like to see more, especially in VOD. We’d definitely look at anyone who has new Spanish-language kids programming.”      ",0,1,1,19,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,
1.0,19931,./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29 00:00:00,31,"Oxygen Sets High Ad Goals; At Upfront, Net Urges Buyers to 'Double Down’          ",14,"As for programming, the network, in addition to emphasizing returning  series Campus Ladies , The Janice Dickinson Modeling Agency and The Bad Girls Club , noted that a pair of specials, Mo’Nique’s F.A.T. Chance and Fight Girls , will transition to  series form this summer.      ",0,1,1,17,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,
0.0,19971,./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29 00:00:00,33,Quick Hits: SCTE Notebook,19,"The company said this should help cable operators expand narrowcast services, such as  video - on - demand and switched digital  video .      ",0,1,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.0,20011,./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29 00:00:00,37,All MTV Platforms Will Be Spankin’,8,"MTV2 will air previews of new videos by The Game, Timbaland featuring Nelly Furtado and Justin Timberlake, Lloyd, Rich Boy featuring The Game and Andre 3000 and Three 6 Mafia.    ",0,1,1,17,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,
1.0,20051,./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29 00:00:00,44,2007 Women to Watch,82,"ON THE HORIZON : “One of the key things is helping to manage the evolving and highly fluid area of digital- media distribution. … Another key issue is our ability to continue to renew, extend and enter into new rights relationships with professional and collegiate conferences and teams as the market continues to grow more complex and competitive.”    ",0,1,1,16,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,
2.0,20091,./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29 00:00:00,44,2007 Women to Watch,82,"ON THE HORIZON : “As we progress to tracking advertising within on-demand  content (currently in beta trial), we are looking forward to more automated processes to provide us with ad location and campaign information, as well as time stamps in the on-demand streams that will allow us to provide more granular information to our clients at the ad level. On demand dynamic ad insertion will help us get there.”    ",0,1,1,29,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,
0.0,20491,./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29 00:00:00,51,Hot Seat Awaits Martin; Democrats Likely to Scrutinize FCC Chairman’s Decision,20,"The FCC today regulates indecent  content on radio and broadcast TV, but not on cable or satellite TV. It does not regulate violent programming.",0,1,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
