index,path,year-month,date,paragraph#,article_title,paragraph,2500Bott,singlebott,bott_list,stage,scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,2500partner,singlepartner,content_production,data_center/storage,Internet_infra,content_distribution,"browsers,_apps_&_smart_devices",advertising,end_users,external_partners,substitutional_partners,length_approx,X,Unnamed:_33,z
8070,./htmls/Factiva-20240114-0326.html,2007 April,2007-04-16 00:00:00,12.0,A French Open Mosaic; Tennis Channel Pairing With DirecTV to Offer 100 Matches,"All told, DirecTV customers will have access to up to 300 hours and more than 100 additional French Open matches on Tennis Channel.      ",1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,,,
8230,./htmls/Factiva-20240114-0326.html,2007 April,2007-04-12 00:00:00,29.0,Cohen: Profits Behind Net-Neutrality Fight; Comcast Executive Vice President: Advocates of Regulation Are Committing the Most Discrimination,"Companies like  Google http://www.  google .com     and Yahoo       http://www.yahoo.com     advocate regulation of broadband-access providers primarily in efforts to protect their profits in a fast-moving and disruptive e-commerce market, a senior Comcast official said in a speech Thursday, according to the text obtained by Multichannel News.      ",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,,,
8270,./htmls/Factiva-20240114-0326.html,2007 April,2007-04-12 00:00:00,34.0,"The America Channel Inks RCN Carriage Pact; Agreement Includes a la Carte, VOD Rights for NCAA Division I Sports Programming          ","TAC partnered with 15 NCAA Division I conferences, representing 146 universities, to broadcast sporting events from nearly one-half of all NCAA Division I universities commencing this coming fall, including extensive football, basketball and other sports, as well as numerous conference tournaments.      ",1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,,,
8350,./htmls/Factiva-20240114-0326.html,2007 April,2007-04-11 00:00:00,48.0,Cablevision Fuels Fuse with Sherman; Music Network Moved from Rainbow to Madison Square Garden,"The move could make Rainbow -- which controls WE tv, AMC, Voom HD Networks and The Independent  Film Channel       http://multichannel.com/article/CA6406251.html     -- more attractive for a possible sale. The MSG unit controls Madison Square Garden, MSG Entertainment, MSG  Media , MSG Sports, the New York Knicks National Basketball Association team and the New York Rangers National Hockey League franchise.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,,,
91282,./htmls/Factiva-20240114-0323 (3).html,2007 April,2007-04-30 00:00:00,64.0,"TV Guide Channel Renamed a Network’; Rebranding Says Shows are Here, Not Just Listings          ","So TV Guide Network is using original programming — and jazzing it up — to lure digital subscribers back, giving them  content to look at, rather than just TV listings.   ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,,,
91362,./htmls/Factiva-20240114-0323 (3).html,2007 April,2007-04-30 00:00:00,67.0,This Just In,"Fresh fare this fall includes Fat Guy Stuck in Internet . And Adult Swim has renewed a deal that will keep Adult Swim cornerstone, Family Guy , on its air through 2015.      ",01:00:01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,,,
92002,./htmls/Factiva-20240114-0323 (3).html,2007 April,2007-04-30 00:00:00,84.0,NFL Net Gains    Content  Yardage,"Speaking at an upfront presentation to advertisers, officials with the pro-football league’s network emphasized that the service offers original  content 365 days a year, not just the eight nights it televises live games. Senior vice president of  media sales Ron Furman said the NFL Network will continue to provide those contests, kicking off on Thanksgiving night this season with the Indianapolis Colts at Atlanta Falcons, for the next five years in accordance with its distribution agreements.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,84.0,,,
92282,./htmls/Factiva-20240114-0323 (3).html,2007 April,2007-04-30 00:00:00,92.0,Gaspin: Making All NBCU’s Pieces Fit,"We did announce that as part of the launch of Newco, the new company that we formed with [News Corp.], MySpace will be a distribution partner. So clearly we’re comfortable with that relationship and with the copyright management systems that will be employed.      ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,92.0,,,
104512,./htmls/Factiva-20240114-0325 (1).html,2007 April,2007-04-23 00:00:00,3.0,"NBA, Nets Talk Renewal; ESPN, Turner Are Eyeing Television, Digital- Content  Rights          ","ESPN and ABC’s current $2.5 billion deal and Time Warner’s $2.2 million agreement do not afford the rightsholders the ability to show game highlights or other NBA  video content on their respective broadband or mobile platforms. Instead, such  content , as well as the league’s 800-game out-of-market live package, is offered through NBA.com.   ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,,,
104672,./htmls/Factiva-20240114-0325 (1).html,2007 April,2007-04-18 00:00:00,25.0,BET Goes Scripted; African-American-Targeted Cable Network Holds Upfront Presentation,"BET Networks is the No. 1  media destination for African Americans and consumers of Black culture,” Lee said. “Through creativity, collaboration and innovation, the next 12 months will see an unprecedented amount of new  content from BET Networks.”      ",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,,,
