stage,year,page,article name,length of article,paragraph,2500bott,bottid,singlebott,scarcity,nonuniform progress,performance constraints,user heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,2500partner,singlepartner,content production,data center/storage,internet infra,content distribution,"browsers, apps & smart devices",advertising,end users,external partners,substitutional partners
0,2007,None,None,None,"During hearings on the applications, Cox’s regional vice president of government and public affairs, John Wolfe, argued the terms suggested by Verizon were not equivalent to the service levels provided by Cox. For instance, incumbent Cox must provide  video service to public buildings. If that standard is not applied to new providers, the cable company should receive regulatory relief, he said.      ",1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
0,2007,None,None,None,"The exclusive  video , which cannot be seen on such portals as MSN or Yahoo, offers a behind-the-scenes interview with the cast and crew of Dirt , Bigalow added.      ",1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
0,2007,None,None,None,"Launching broadcast-affiliated cable networks in lieu of cash for station carriage was the brainchild of John Malone at Tele-Communications Inc. The  National Cable & Telecommunications Association is paralyzed because operators and programmers are members. In 2005, the Federal Communications Commission concluded retrans works.    ",1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
0,2007,None,None,None,"We're all about connecting audiences with our  content -- and each other -- through immersive environments that span TV,  online and wireless,” Salmi said in a prepared statement. “With this team in place, we're poised to deepen our audience connections, reaching them wherever they are, whenever they want and on whatever screen they choose.”      ",1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
0,2007,None,None,None,The explosion of the “new- media ” business over the last two years has caused the advertising industry to shift some gears.,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
0,2007,None,None,None,"USA's primetime ratings were up 10% last year, while  Disney Channel, which isn't ad-supported, registered a 16% gain.   ",1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0
0,2007,None,None,None,"As 2006 saw the maturing of the read-write Web (or Web 2.0), 2007 will see the rise of the third stage of the internet’s evolution: the Hear Me See Me Web. The rise of  video and audio on the Web has been phenomenal and we will see the average user’s behavior change over the next year as he/she moves from reading and writing text to consuming and generating moving image and sound.”      ",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2007,None,None,None,"A “ Disney for You” feature allows visitors to enter areas that reorganize material based on age or gender. The areas serve preschoolers, boys, girls, kids and teens, families and, broadly, a category called “ Disney Fans.”      ",1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2007,None,None,None,"Later this month, CNN will debut a long-form investigative  series that will run each Saturday and Sunday.    ",1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
0,2007,None,None,None,"The live-TV service, provided through Qualcomm's MediaFLO USA subsidiary, initially will have fewer than a dozen channels. Those will include two from NBC Universal — one for news and one for entertainment — and at least two other broadcast networks. Until now,  Verizon Wireless 's V Cast  video service has consisted of on-demand clips from partners ranging from ESPN to  Comedy Central .    ",1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
0,2007,None,None,None,"Adam Berrey, Brightcove vice president of marketing and strategy, said its biggest competition comes from producers’ in-house projects to integrate different  content management and acquisition, programming and ad-buying systems.  ",1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0
0,2007,None,None,None,"CDN operators like Limelight are part of a group of companies delivering broadband  video services, ranging from delivery and syndication to workflow and management tools for publishing  content . And on the flip side, at least two new ventures are looking to curtail unfettered Internet  video with services that scan for copyright violations (see sidebar, page 22).  ",1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
0,2007,None,None,None,"FiOS1 will also include around-the-clock traffic and weather, as well as local news and community sports. Verizon will partner with professional news organizations to deliver some of the  content .    ",1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0,2007,None,None,None,"The 2007 Pageant will air live on CMT from The Planet Hollywood Resort & Casino in Las Vegas Monday, Jan. 29 at 8 p.m. ",1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2007,None,None,None,Discovery Networks U.S. named a new programming guide.,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
0,2007,None,None,None,Cars.com     http://www.cars.com/go/index.jsp  will sponsor ESPN and ESPN2 Saturday-afternoon college basketball beginning Feb. 3.,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
