scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,paragraph,label,Bottid,year,word_count,number_of_types
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,"The law, which passed a Republican-controlled legislature last year, “prohibits an interactive computer service from censoring a user, a user’s expression, or a user's ability to receive the expression of another person based on … the viewpoint of the user or another person.” It also requires large social  media platforms like Facebook and Twitter to disclose how they manage  content , to publish an acceptable-use policy that users can find telling them what  content is acceptable, to publish quarterly transparency reports and to have a complaint system in place.",2.0,30,0.5,0.6846846846846847,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Michele Laven (chair), chief diversity and human resources officer, iHeartMedia",2.0,25,0.5,0.0,0.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"In Quality mode, QBR delivers the best possible quality while saving bandwidth when it gets the chance. On the bottom right, you see QBR (b) both decreasing the data rate during low­complexity re­gions and increasing the data rate during higher complexity regions.In essence, the player “saves up” bandwidth for the high­bitrate stream in the complex re­gions by retrieving low­bitrate streams when scene complexity is low, improving quality while also reducing bandwidth costs, at least for the example shown.",1.0,12,0.625,0.5585585585585585,0.2
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"Ebersol hired Lorne Michaels, creator and executive producer of SNL, 36 years ago. Michaels recalls that when it was being put together, “he completely protected me and the show.” Recently, they had conversations about how to get Jim Carrey involved in NBC’s wild-card NFL playoff games that led into SNL a few Saturdays ago. “We’re old friends. He’s a good collaborator, and very good in supporting his team and articulating a clear vision of where he wants to go,” Michaels says.",0.0,0,0.5,0.5855855855855856,0.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"MCN: There seems to be a lot of competition in the kids’ space not only on the cable front, but also from companies like Netfl ix and Amazon. How do you diff erentiate Nickelodeon from your competitors? RH: I think great  content drives viewers, so my main focus at this job is to fi nd the best thing that we can deliver to our audience. We’re putting a lot of energy and time into fi nding the next generation of creators. … I’m not looking for the guy who has the hit show; I’m looking for the guy who’s working for the guy that has the hit show.",0.0,0,0.5,0.8378378378378378,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Just 10 months ago, CNN was  preparing to launch a bold   streaming initiative under a CEO who enjoyed broad-level trust and loyalty in the newsroom.",2.0,21,0.5,0.10810810810810811,0.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,"• Live encoding: how to obtain a perfect camera signal and send it to the internet, even in unstable networks ? • Live streaming and delivery: how avoid complicated server setup, installation and maintenance processes? • Playback: how to achieve the  best possible user experience for  your communication partner or  live audience? • Instant streaming: avoid encoding and streaming startup delays for immediate results for breaking news, music, sports, celebrities, etc. • End-to-end low latency to enable live video communication applications.  • Be flexible to use cloud or  on-premise services. • Allow live video broadcast and playback on any device, independent of vendor and OS.",1.0,0,0.5625,0.8468468468468469,0.3
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"The 50,000-Foot View At a high level, these tools are all massive data collectors; what varies are the source and types of data and what you can do with it. All systems store the data centrally and offer some kind of dashboard to access it. Systems differ dramatically in terms of how quickly the data is posted and how granular the data is. Virtually all systems can alert you to actual or potential problems, while some can automatically trigger a change in your distribution structure to avoid, minimize, or resolve the issue, like switching from one CDN to another. ",0.0,2,0.625,0.7567567567567568,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"HBO currently touts around 74 million subscribers vs. 22 million for  Discovery 's combined  streaming subscribers. The rabbit the companies are chasing, of course, is  Netflix , which has around 220 million subscribers worldwide.",1.0,0,0.5,0.1891891891891892,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Vidéotron has also placed firm download caps on the offerings — 30 Gigabytes and 50 Gigabytes per month, respectively — to discourage bandwidth hogs.      ",0.0,0,0.5,0.0990990990990991,0.1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Other observers say the issue is overblown. A Consumer Reports survey found that three-fourths of cable subscribers who also subscribe to  streaming services say they won't drop cable because they're relatively happy with their provider.,1.0,0,0.5,0.18018018018018017,0.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"(7) under title ii, the Fcc would likely have to start regulating beyond isPs to currently unregulated internet entities, such as  content -delivery networks (like Netfix) or even search engines (like  Google ).",0.0,0,0.5,0.17117117117117117,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"Among those bidding were AT&T, Verizon Communications and T-Mobile, but no big cable broadband names.  Cable broadband operators had warned that the way the auction was structured — specifically the license sizes — would discourage them from bidding.",0.0,0,0.5,0.2072072072072072,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"The current roster of standalone  subscription OTT sports services features a number of live out-of-market game packages ranging from the major pro sports leagues to college conferences such as the Atlantic 10 to smaller pro sports leagues such as the National Lacrosse League. Most of the packages operated independently from other digital services until this year, when B/R Live and ESPN+ launched with agreements to add many of the  OTT services under their respective banners.",1.0,0,0.5,0.5495495495495496,0.1
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"The rules have been established here and again, I spent most of my public career on children’s issues and an awful lot of legislation involving kids [he co-founded the Congressional Children’s Caucus and was principal author of the Family and Medical Leave Act]. So, I care a lot about it, and the industry does as well, particularly companies like  Disney and others.",0.0,0,0.5,0.42342342342342343,0.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"What happens to music and  video content that gets shared on so-called peer-to-peer networks of PCs or  content -sharing sites — such as the “broadcast yourself” site, YouTube — remains open, as Shapiro did not shed light on those matters at CES.    ",0.0,0,0.5,0.2702702702702703,0.1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"> Reality TV: Competition — A collection of reality TV’s most popular  series , including Ink Master, Rupaul's Drag Race and Survivor.",1.0,0,0.5,0.06306306306306306,0.2
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"None of those options were projected to generate the revenue return or distribution levels WWE was looking for from operators, WWE chief revenue and marketing of cer Michelle Wilson said.",0.0,0,0.5,0.12612612612612611,0.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Asked by Blunt, in written questions following her nomination, whether she favored bringing back that general conduct standard, Sohn said she would look at the totality of the record and law and come to a conclusion about the scope of new net neutrality rules, including considering adopting the general conduct standard.",0.0,0,0.5,0.3153153153153153,0.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Judas and the Black Messiah (Warner Bros.),2.0,0,0.5,0.0,0.2
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"The evolution towards delivery of large digital assets, like software, gaming and movie files, threatens to change things. As these precious digital assets are made available for business on the Internet, these “one-size fits all,” traffic-based models must evolve.",0.0,2,0.0,0.2072072072072072,0.2
0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"You can stream to any device, live or on demand.3Q SDN is an innovative and powerful streaming platform for hosting, publishing and distributing media content.3Q SDN converts, packages and delivers your audio and video streams automatically into all required formats and resolutions.The multi-screen playout provides the correct streaming format and the appropriate bandwidth for each receiving device.",0.0,5,0.5,0.36936936936936937,0.4
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Altice USA said the “Price for Life” packages help solve one of the biggest problems of promotional periods: the sticker shock a consumer feels when that period rolls off. That traditionally leads to heavy churn, but with no contract and no pressure, customers stay longer. Eventually, usually around the two-year mark, customers will find that they want higher internet speeds and upgrade to larger packages.",0.0,0,0.5,0.44144144144144143,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FreeWheel (FreeWheel),2.0,29,0.5,0.0,0.1
