scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,technical,demand,length_approx,paragraph,label
0,0,1,1,0,0,0,1,0,1,13,"AMC CMO Kim Granito said The  Content Room works closely with the producers of AMC’s shows. The branded  content shows are being made longer, from seven minutes to a full 30, but they’re elastic and can be cut down to any length and how on any platform.",1.0
0,0,1,0,0,0,0,0,0,0,16,"In their petition, Standard General and Tegna have argued the transaction will created a minority-owned company and expand local reporting and programming.",2.0
0,0,0,0,0,1,0,0,0,0,8,"DirecTV sued  Nexstar   Media Group , Mission Broadcasting and White Knight Broadcasting in a New York federal court Tuesday, accusing the three broadcast station groups of “engaging in an illegal conspiracy” to manipulate the market for broadcast retransmission fees.",1.0
0,0,0,1,0,0,0,0,0,1,3,"In the ring, YouTube star Jake Paul on Sunday will look to advance his boxing career when he faces Tommy Fury in the main event of an  ESPN Plus pay-per-view boxing card on Sunday. On Saturday,  Showtime will telecast a live fight card headlined by the junior welterweight championship fight between Subriel Matias and Jeremias Ponce.",1.0
0,0,0,0,0,0,0,0,0,0,19,"Speaking for Mission Broadcasting, Mission President Dennis Thatcher said: ""We were unable to agree about an extension and our contract has expired.""",1.0
0,0,0,0,0,0,1,0,0,0,35,"Leichtman Research Group believes the  Google vMVPD added 100,000 customers in Q1, making it the only U.S. operator that grew during the quarter",1.0
0,0,1,0,0,0,0,1,0,0,10,Programmers have been embracing advanced advertising as a way to boost revenues and compete against the digital giants including  Google and Facebook.,1.0
0,0,0,1,0,0,0,0,0,1,9,"Beyond all her career success, Hines has another goal. “It’s important that I give back, leaving a legacy around inclusion opportunities and creating seats at the table for women and people of color,” she said.",2.0
0,0,1,0,0,1,0,0,0,0,6,"ACE suggested the site went down without a fight. The alliance said it identified the pirate, operating out of Tunisia, approached it and it stopped and turned over its domains. It had been drawing more than 14 million visitors per month to over 40,000  movies and TV  series episodes, ACE said.",1.0
0,0,1,0,0,0,0,0,0,0,10,Disney and Povenmire agreed on two seasons and 40 episodes as part of an overall deal. Povenmire's Hamster & Gretel also got a second season order.,1.0
0,0,0,1,0,0,0,0,0,1,76,"The Vegas Golden Knights will look to take a commanding three games-to-one lead over the Florida Panthers in Game Four of the Stanley Cup Finals on  TNT . After taking a two games-to-none lead, the Golden Knights lost to the Panthers in overtime this past Thursday.",0.0
0,0,0,0,0,0,1,0,0,0,5,"Cox Mobile will rely on a mobile virtual network operator (MVNO) agreement with wireless giant Verizon, just as Comcast and Charter's respective Xfinity Mobile and Spectrum Mobile do.",1.0
0,0,1,0,0,0,0,0,0,0,10,Disney and Povenmire agreed on two seasons and 40 episodes as part of an overall deal. Povenmire's Hamster & Gretel also got a second season order.,1.0
0,0,0,0,0,0,0,0,0,0,19,"Speaking for Mission Broadcasting, Mission President Dennis Thatcher said: ""We were unable to agree about an extension and our contract has expired.""",1.0
0,0,0,1,0,0,0,0,0,1,3,"Companies like  Netflix , which have production footprints that are internationally diversified are better able to import much of that  content if it is owned, or if they have broad licensing rights,” the firm said.",1.0
0,0,0,0,0,0,0,1,0,0,4,"Nathanson noted that while he’s lowering his ad forecasts for 2023, he’s not modeling either a full U.S. economic recession or an advertising recession.",1.0
0,0,0,0,0,1,0,1,0,0,6,"Lee's summary of the bill makes it clear he thinks  Google and Facebook will have to divest ”significant“ portions of their ad businesses, and that Amazon may have to as well. It would also put a crimp in Apple’s efforts on the third-party ad front.",1.0
0,0,1,0,0,0,0,0,1,0,4,Verizon's nascent fixed wireless access service added nearly 1.2 million subscribers in 2022,0.0
0,0,0,0,0,1,0,0,0,0,1,"It’s difficult to say goodbye to these indelible characters and to an award-winning  series that The Hollywood Reporter, The New York Times, Rolling Stone, Variety and Vulture named The Best Show of 2022. That said, we support Sterlin and Taika’s decision to end the  series in a way that will cement its legacy.",0.0
0,0,0,0,0,1,0,0,0,0,16,She said the FCC should investigate the deplatforming and the related issues of bundling and most favored nation clauses.,1.0
0,0,0,1,0,0,0,1,0,1,8,"With Fight Network and AXS TV, Anthem is vertically integrated and able to distribute and promote its own events and programming. It has been adding  an expanding set of digital and   streaming free, ad-supported  streaming TV (FAST) channels to make its programming more available, especially to younger viewers. “Will we end up having a boxing vertical of  content that will be streamed globally? Yes,” Asper said.",2.0
0,0,1,0,0,0,0,0,0,0,5,"Profitability is certainly decreasing for each team,” Lopez said. “But again, this doesn't mean that the contract rate and those fees under those contracts is not reasonable.""",0.0
0,0,1,0,0,0,0,0,1,0,4,"In Pocatello, which is home to Idaho State University,  Google Fiber will compete with  Cable One , among other telecom companies. As  Light Reading noted , Cable One launched gigabit-download-speed service in Pocatello back in 2016 and has plans to upgrade the area as part of its DOCSIS 4.0 “10G” rollout.",0.0
0,0,0,1,0,0,0,0,0,1,4,"As we move to the back half of the year, when all of our programming strength is coming, I think we're pretty optimistic that we’re going to continue to grow paying subs,“ Shell said. ”By the way, it’s also important to remember that 13 million paying subs comes from only a portion of the country because in Comcast territory, Comcast homes who get Xfinity, get Peacock Premium for free.",1.0
0,0,0,1,0,0,0,0,0,1,7,"Sticking with the sports theme, WIAT airs CBS 42 Sports Sunday leading out of the 10 p.m. news. College football is massive in Birmingham, and the market has a USFL team in the Birmingham Stallions.",0.0
0,0,1,0,0,0,0,1,0,0,10,Programmers have been embracing advanced advertising as a way to boost revenues and compete against the digital giants including  Google and Facebook.,1.0
0,0,1,0,0,0,0,0,0,0,83,"An incredible two days at #IABALM. Heard on stage this afternoon: “I’m not going to talk about privacy. Because privacy is boring, it makes our eyes glaze over.” This is what is flawed about our industry.  Words Matter. January 24, 2023",1.0
0,0,0,1,0,0,0,0,0,1,3,"Eric Shanks: Clearly, we couldn’t have predicted such an unprecedented year. When we set our budget in 2021, we couldn’t have predicted that we were going to have probably the greatest sporting event of all time in the World Cup final. The performance of everything that we’ve put on the network just validated the strategy that Lachlan Murdoch and [Fox chairman] Rupert Murdoch put in place, which is to be  very focused on being the leader in live television , whether it’s sports or news. It feels to me like we’re unique in that there’s no doubt that we know who we are, and we aim to be the leader in live sports and news every day. By any metric, whether it’s total consumption or whether it’s the individual performance of our events or our leagues, that’s the case. And in the areas where we’re not quite No. 1, I mean, that’s the challenge that we have going forward.",1.0
0,0,0,0,0,0,0,0,0,1,7,"These are just a few of the cultural impact moments masterminded by Marnie Black, executive VP of public relations at AMC Networks. And although her fingerprints are all over other AMC successes, including the  series finale of Better Call Saul  hitting a record 2.7 million viewers and, earlier during her 25-year career, on a legacy of activations at MTV, Black is characteristically looking ahead to the next storytelling opportunities.",1.0
0,0,0,0,0,1,0,0,0,0,16,She said the FCC should investigate the deplatforming and the related issues of bundling and most favored nation clauses.,1.0
