scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,paragraph,label,Bottid,year,word_count,number_of_types
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"First there’s the bad user experience (arguably save the iPhone), the lack of demand from the public, the pricing issues. All of that is compounded by the fact that nobody has figured out  video monetization on the desktop — let alone in mobile, a more 'personal’ medium where spam and 'irrelevant’ ads are less tolerated.”",0.0,0,0.0,56.0,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"The whole purpose of the originals is also to get people interested in Starz and get people to take notice of Starz,” he said. “By making it available to viewers outside of just the Starz network, we’re trying to build anticipation of the show as well as drive people to the network where they can find all the shows.”",0.0,0,0.0,59.0,0.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"Of course, the UFC is also continually looking for ways to get even bigger, with Fertitta aiming for Floyd Mayweather-type numbers (the boxer’s most recent pay-per-view fight grabbed nearly 2.5 million buys, reaping $136 million) for its biggest fights while broadening the fan base.",0.0,0,0.0,44.0,0.2
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"over the next year, media will become an ever more pervasive part of our lives. Mobile devices will create new viewing minutes throughout the day andhigh quality video content willstream to us in any form we desire. There will be no difference between the monitor on your desk and the television hanging on your wall. Through vast scalable IP in 2010, Internet content  providers will continue to  improve their ability to profitably monetize their offerings. This implies continued downward price pressure for traditional caching and streaming CDN services, and CDNs will thus continue to push for lower costs from their suppliers. Successful CDN companies will expand their partnerships for technology, sales and support.",0.0,0,0.9930795847750865,115.0,0.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"How Can I Watch 4K? In order to watch content created at 4K resolution, you need to have a TV, computer monitor, or projector that will display 3840x2160 pixels or higher. While CES 2014 showed off a huge crop of displays that will be available later this year, current choices are limited. All the major manufacturers have either launched a line of 4K-compatible displays or plan to launch one by 2Q. While several lesser-known brands such as Seiki and TCL are selling sub-$1,000 TVs and monitors, be sure to read the fine print. Some of the less-expensive models are using the old HDMI 1.4 standard, which only will allow 4K resolution at 30Hz, causing some issues with high-movement content such as action movies and gaming. Most higher-end laptops and PCs purchased within the past 6 months offer output support for 4K over HDMI 2.0 or DisplayPort. Always check the specs to ensure you are getting true UHD quality.",0.0,5,0.995551161641127,136.0,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"WITH ANOTHER EVOLUTIONARY YEAR for the television programming industry nearly over, it's time to focus on trends the landscape might reveal in the new year. With the number of original scripted  series expected to surpass the 500 mark and new distribution entrants like Apple launching for in 2019 new  streaming services with original programming, here are five trends the industry should look at in 2019:",1.0,17,0.0,67.0,0.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Big Tech also wanted Biden-appointed Federal Trade Commission chair Lina Khan to have to recuse herself from antitrust-related Big Tech issues given her past criticisms, but that didn’t happen either.",0.0,11,0.0,30.0,0.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,"Intel Corp. is in talks to sell all or part of Intel  Media , the unit that’s developing an over-the-top  video subscription service, to Verizon Communications, a source said, confirming  media reports that emerged last week.",0.0,0,0.0,39.0,0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"The combination of premium  video inventory, like NBCU’s, and the Walmart shopper data can be a game-changer for marketers.",2.0,27,0.0,20.0,0.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"In addition to her stardom on screen and stage, the 46-year-old mother of two, now called simply “Lucero,” is also known for her hosting skills. She has fronted popular television shows in Mexico and internationally , including the Latin Grammys, La Voz México (Mexico’s spinoff of NBC’s The Voice), the philanthropic show Teletón Mexico and Teletón USA, as well as the 2015 Latin American Music Awards, the Spanish-language version of Dick Clark Productions’ American Music Awards, earlier this month. La novia de México (Mexico’s sweetheart), as Lucero is known by her fans, will receive the 2015 Award for Outstanding Achievement in Hispanic Television from Multichannel News and Broadcasting & Cable on Oct. 22, at the 13th annual Hispanic Television Summit in New York City.",0.0,0,0.0,124.0,0.2
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Some pay-TV operators are embracing the concept of “TV everywhere”. This approach makes the TV content people have subscribed to available over-the-top as well. While this strategy turns OTT content into a feature of the MVPD distribution model, it fails to monetize OTT delivery. The idea is to stem the flow of paying customers away from traditional pay-TV, but a feature is not a product. Today’s cord cutters want to make more granular choices about what content to pay for. ",1.0,20,0.9960454770143351,81.0,0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"In August 2010, the 70-employee bank dropped AT&T for Suddenlink, which now provides 60 Mbps via fiber to its main facility in Mount Pleasant, Texas, and 10 Mbps to most other locations.",0.0,2,0.0,32.0,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"One is audience measurement. Nielsen currently can’t provide combined TV, internet and mobile ratings and such data “will be a minimum of two years away,” Pivotal Research Group senior analyst Brian Wieser noted.",0.0,0,0.0,33.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,"In a 2-1 ruling, a Second Circuit panel said the FCC could no longer enforce the new policy because the agency failed to justify the abandonment of the old standard, which generally refrained from punishing the one-time broadcast of the F-word and the S-word, especially in live situations.",0.0,0,0.0,48.0,0.4
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"NDI has been designed to permit all type of suppliers to work together. NDI is easy for manufacturers of production components to develop compliant products. This has led to NDI achieving the widest support of any IP protocol for media by far. There are now thousands of companies with software and hardware products supporting NDI, and millions of users incorporating it into their environments.",1.0,15,0.9980227385071676,64.0,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"And so the moment was gone. The legacy of Global-MIX lives on as the MBGP Peering in the London Internet Exchange, and it still services some functions, but it is a complex beast. In the traditionally appliance-led and capital expenditure (capex)-intensive network investment, most network services need a minimum level of traffic before they can garner political and financial support internally, and since IP multicast reduced costs for everyone, any successful long-term strategy was vulnerable to a counterargument of “that didn’t increase our revenue.” Worse, the efficiencies could reduce revenues or reduce transit-buying power, which could affect the business more widely. Sometimes inefficiency can be valuable.",0.0,2,0.9965397923875432,106.0,0.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,17,0.0,136.0,0.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"WP64  Superguide 5: THE OTT PLATFORM SUPERGUIDE  JULY/AUGUST 2015  SPONSORED CONTENT Making Sense of OTT Revenue Security By Steve Christian, SVP of Marketing, Verimatrix Internet-delivered video services  across Android devices, Chrome browser  system to simplify OTT service  present content providers and  instances, and even the YouTube services  deployment and insulate them against  operators with promising new revenue  that compete with other operators’  changes in underlying content security  opportunities, but implementation and  offerings.This is complicating the task  technology implementations The quest  maintenance of these services adds  of reaching all target platforms for OTT  is for a common way of expressing  increased complexity and significant  content delivery, at a time when rate of  rights in a standard format that can  costs in the short-term.Security for these  deployment is accelerating.",1.0,14,0.9960454770143351,136.0,0.2
